open_time,open,high,low,close,volume
2026-05-27 07:25:00,75867.45,75867.45,75850.49,75850.49,0.04748
2026-05-27 07:26:00,75850.49,75856.67,75850.49,75856.66,0.16507
2026-05-27 07:27:00,75856.66,75860.01,75856.66,75860.01,0.13776
2026-05-27 07:28:00,75860.0,75863.86,75860.0,75863.86,0.05145
2026-05-27 07:29:00,75863.86,75863.86,75863.84,75863.84,0.51525
2026-05-27 07:30:00,75863.84,75885.12,75863.84,75880.51,1.07174
2026-05-27 07:31:00,75880.51,75880.51,75866.48,75866.49,0.1663
2026-05-27 07:32:00,75866.48,75879.83,75866.48,75868.0,0.05948
2026-05-27 07:33:00,75867.99,75867.99,75858.23,75858.23,0.06499
2026-05-27 07:34:00,75858.24,75938.37,75858.23,75938.37,0.26385
2026-05-27 07:35:00,75938.37,75962.56,75938.36,75962.56,0.12626
2026-05-27 07:36:00,75962.56,75962.57,75954.4,75956.18,1.25321
2026-05-27 07:37:00,75956.18,75972.19,75956.18,75963.82,0.11099
2026-05-27 07:38:00,75962.7,75962.7,75930.0,75930.0,0.10034
2026-05-27 07:39:00,75930.0,75930.01,75896.7,75896.71,0.17295
2026-05-27 07:40:00,75896.71,75896.71,75892.91,75893.6,0.15162
2026-05-27 07:41:00,75894.12,75902.0,75880.0,75880.0,0.49516
2026-05-27 07:42:00,75880.0,75893.5,75879.8,75893.5,0.23703
2026-05-27 07:43:00,75893.49,75898.08,75893.49,75898.07,1.10414
2026-05-27 07:44:00,75898.07,75898.08,75884.22,75886.0,0.45156
2026-05-27 07:45:00,75886.01,75913.02,75886.0,75913.01,0.17379
2026-05-27 07:46:00,75913.02,75915.97,75912.0,75912.0,0.15079
2026-05-27 07:47:00,75912.0,75929.18,75912.0,75927.85,0.09434
2026-05-27 07:48:00,75927.66,75930.0,75913.33,75913.33,0.32931
2026-05-27 07:49:00,75912.01,75912.01,75894.74,75910.0,0.07058
2026-05-27 07:50:00,75909.99,75910.0,75890.68,75900.11,0.07337
2026-05-27 07:51:00,75901.91,75924.45,75901.91,75924.45,0.07985
2026-05-27 07:52:00,75924.45,75935.8,75924.45,75935.79,0.06208
2026-05-27 07:53:00,75935.8,75950.63,75934.11,75950.63,0.41821
2026-05-27 07:54:00,75950.64,75969.25,75950.64,75956.36,0.079
2026-05-27 07:55:00,75956.35,75972.01,75956.35,75960.01,0.07612
2026-05-27 07:56:00,75960.01,75969.91,75956.36,75956.37,0.06735
2026-05-27 07:57:00,75956.36,75967.03,75956.36,75967.03,0.08513
2026-05-27 07:58:00,75967.28,75973.72,75967.27,75973.72,0.1127
2026-05-27 07:59:00,75973.72,75980.0,75973.72,75980.0,0.06833
2026-05-27 08:00:00,75979.99,75980.0,75960.1,75960.11,1.16985
2026-05-27 08:01:00,75960.1,75994.26,75960.1,75994.26,0.08596
2026-05-27 08:02:00,75994.26,76008.9,75994.25,75995.0,0.08282
2026-05-27 08:03:00,75986.48,75990.01,75986.47,75990.0,0.05704
2026-05-27 08:04:00,75990.0,75990.5,75978.0,75990.49,0.07094
2026-05-27 08:05:00,75990.5,76004.6,75986.0,75986.0,0.45993
2026-05-27 08:06:00,75986.01,75986.01,75956.88,75956.89,0.45205
2026-05-27 08:07:00,75956.88,75956.88,75933.45,75933.46,0.10671
2026-05-27 08:08:00,75933.45,75933.46,75933.45,75933.45,0.06282
2026-05-27 08:09:00,75933.45,75933.46,75933.44,75933.44,0.02238
2026-05-27 08:10:00,75933.45,75944.57,75932.06,75944.57,0.15501
2026-05-27 08:11:00,75944.57,75944.57,75944.57,75944.57,0.0
